"Accepted Symbol","Synonym Symbol","Symbol","Scientific Name","Common Name","PLANTS Floristic Area","Category","Active Growth Period","Flower Color","Foliage Color","Fruit Color","Growth Form","Growth Rate","Height at Base Age, Maximum (feet)","Height, Mature (feet)","Lifespan","Shape and Orientation","Toxicity","Adapted to Coarse Textured Soils","Adapted to Medium Textured Soils","Adapted to Fine Textured Soils","Drought Tolerance","Moisture Use","pH (Minimum)","pH (Maximum)","Root Depth, Minimum (inches)","Shade Tolerance","Temperature, Minimum (°F)","Bloom Period","Commercial Availability","Propogated by Container","Seedling Vigor","Palatable Human"
"ABGR4","","ABGR4","Abelia ×grandiflora","glossy abelia","NA (L48)","Dicot","Spring and Summer","Purple","Dark Green","Brown","Multiple Stem","Rapid","6","6.0","Moderate","Semi-Erect","None","Yes","Yes","No","Medium","Medium","5.7","7.0","12","Tolerant","-13","Late Summer","Routinely Available","Yes","","No"
"ABAM","","ABAM","Abies amabilis","Pacific silver fir","NA (L48, AK, CAN)","Gymnosperm","Spring and Summer","Yellow","Gray-Green","Brown","Single Stem","Slow","20","165","Long","Erect","None","Yes","Yes","Yes","Low","Medium","3.3","6.0","36","Tolerant","-28","Late Spring","Routinely Available","Yes","Low","No"
"ABBA","","ABBA","Abies balsamea","balsam fir","NA (L48, CAN, SPM)","Gymnosperm","Spring and Summer","Yellow","Green","Brown","Single Stem","Slow","18","60","Short","Conical","None","Yes","Yes","Yes","Low","Medium","4.0","6.0","20","Tolerant","-43","Mid Summer","Routinely Available","Yes","Low","No"
"ABCO","","ABCO","Abies concolor","white fir","NA (L48)","Gymnosperm","Spring and Summer","Red","Green","Brown","Single Stem","Slow","20","120","Long","Conical","None","Yes","Yes","No","Medium","Medium","5.5","7.8","40","Intermediate","-38","Late Spring","Routinely Available","Yes","Medium","No"
"ABFR","","ABFR","Abies fraseri","Fraser fir","NA (L48)","Gymnosperm","Spring and Summer","Purple","Dark Green","Brown","Single Stem","Moderate","20","55","Moderate","Erect","None","Yes","Yes","No","Low","Medium","3.5","5.5","6","Tolerant","-23","Mid Spring","Routinely Available","Yes","Medium","No"
"ABLA","","ABLA","Abies lasiocarpa","subalpine fir","NA (L48, AK, CAN)","Gymnosperm","Spring and Summer","","Green","Brown","Single Stem","Slow","15","90","Long","Conical","None","Yes","Yes","No","Low","Medium","4.0","6.5","40","Tolerant","-51","Late Spring","Routinely Available","Yes","Low","No"
"ACKO","","ACKO","Acacia koa","koa","HI","Dicot","Year Round","Yellow","Green","Brown","Single Stem","Moderate","100","110","Long","Erect","None","Yes","Yes","Yes","Medium","Medium","5.0","7.0","30","Intolerant","31","Spring","Routinely Available","Yes","Medium","No"
"ACLO","","ACLO","Acacia longifolia","Sydney golden wattle","NA (L48)","Dicot","Spring and Summer","Yellow","Green","Brown","Multiple Stem","Rapid","20","20","Short","Semi-Erect","None","Yes","Yes","Yes","High","Medium","6.0","8.3","24","Intolerant","14","Summer","Routinely Available","Yes","Medium","No"
"ACGI","","ACGI","Acer ginnala","Amur maple","NA (L48, CAN)","Dicot","Spring and Summer","White","Green","Brown","Multiple Stem","Rapid","15","20","Moderate","Rounded","None","Yes","Yes","No","Low","Medium","6.1","7.5","24","Intermediate","-38","Mid Spring","Routinely Available","Yes","Low","No"
"ACGL","","ACGL","Acer glabrum","Rocky Mountain maple","NA (L48, AK, CAN)","Dicot","Spring and Summer","Green","Green","Brown","Multiple Stem","Rapid","15","30","Moderate","Erect","None","Yes","Yes","No","Medium","Low","5.8","7.5","24","Intermediate","-43","Late Spring","Routinely Available","Yes","Low","No"
"ACGR3","","ACGR3","Acer grandidentatum","bigtooth maple","NA (L48)","Dicot","Spring and Summer","Yellow","Green","Brown","Single Stem","Moderate","20","38","Short","Erect","None","Yes","Yes","Yes","Low","Medium","6.0","8.0","24","Intermediate","-31","Spring","Routinely Available","Yes","Low","No"
"ACNE2","","ACNE2","Acer negundo","boxelder","NA (L48, CAN)","Dicot","Spring and Summer","White","Green","Brown","Multiple Stem","Rapid","35","60","Short","Erect","None","Yes","Yes","Yes","High","Medium","5.0","7.8","40","Tolerant","-46","Early Spring","Routinely Available","Yes","Low","Yes"
"ACPL","","ACPL","Acer platanoides","Norway maple","NA (L48, CAN)","Dicot","Spring and Summer","Green","Green","Brown","Single Stem","Rapid","25","50","Moderate","Rounded","None","No","Yes","No","Low","Medium","4.8","7.2","40","Intermediate","-28","Early Spring","Routinely Available","Yes","Low","No"
"ACRU","","ACRU","Acer rubrum","red maple","NA (L48, CAN)","Dicot","Spring and Summer","Red","Green","Red","Single Stem","Rapid","35","68","Short","Rounded","Slight","Yes","Yes","Yes","Medium","High","4.7","7.3","30","Intermediate","-47","Early Spring","Routinely Available","Yes","Medium","Yes"
"ACSA2","","ACSA2","Acer saccharinum","silver maple","NA (L48, CAN)","Dicot","Spring and Summer","Yellow","Green","Brown","Single Stem","Rapid","45","90","Moderate","Rounded","None","Yes","Yes","Yes","Low","Medium","4.0","7.3","32","Intermediate","-47","Early Spring","Routinely Available","Yes","Low","Yes"
"ACSA3","","ACSA3","Acer saccharum","sugar maple","NA (L48, CAN)","Dicot","Spring and Summer","Green","Green","Brown","Single Stem","Slow","20","100","Long","Erect","None","Yes","Yes","No","Medium","Medium","3.7","7.9","40","Tolerant","-47","Mid Spring","Routinely Available","Yes","High","Yes"
"ACMI2","","ACMI2","Achillea millefolium","common yarrow","NA (L48, AK, CAN, GL, SPM), HI","Dicot","Spring","White","Green","Brown","Rhizomatous","Moderate","","3.0","Moderate","Erect","Slight","No","Yes","No","Medium","Medium","6.0","8.0","8","Intermediate","-38","Early Summer","Routinely Available","Yes","Low","No"
"ACMIO","","ACMIO","Achillea millefolium var. occidentalis","western yarrow","NA (L48, AK, CAN, GL, SPM)","Dicot","Spring","White","Green","Brown","Rhizomatous","Moderate","","3.0","Moderate","Erect","Slight","Yes","Yes","No","Medium","Medium","6.0","8.0","8","Intermediate","-38","Late Spring","Routinely Available","No","High","No"
"ACHY","","ACHY","Achnatherum hymenoides","Indian ricegrass","NA (L48, CAN)","Monocot","Spring, Summer, Fall","Yellow","Green","Brown","Bunch","Moderate","","2.0","Short","Erect","None","Yes","Yes","No","High","Low","6.6","8.6","18","Intolerant","-43","Late Spring","Routinely Available","No","High","No"
